profile_url	Hospital name	Address	Contact number	Website address	E-mail address	Mobile phone	Hospital nameGeographic Reference	E-mail addressEmail & Messaging	Fax
https://www.yelu.in/company/956694/apollomedics-super-speciality-hospitals	Apollomedics Super Speciality Hospitals	"Kanpur - Lucknow Rd, Sector B, Bargawan, LDA Colony, Lucknow , Uttar Pradesh 226012, India View Map Get Directions"	8429021960	lucknow.apollohospitals.com/	Send Enquiry				
https://www.yelu.in/company/949822/navin-hospitals	Navin hospitals	"NH-3 , POCKET – F , ALPHA 2 , GREATER NOIDA , UTTAR PRADESH (INDIA) 201308"	0120-2321050/40 +919999623102	www.navinhospitals.com	Send Enquiry	8860857401			
https://www.yelu.in/company/956733/dental-for-all	Dental For All	"B1/33, opposite सीसीडी Janakpuri, New Delhi , Delhi, 110058, India"	+91 96677 88368	drsahilbedi.getmy.clinic/	Send Enquiry				
https://www.yelu.in/company/956866/dr-t-b-patel	Dr. T B Patel	"Aims Hospital, Aravlli, Bypass Road, Khalik Pur , Modasa , Gujarat, 383315, India"	9.18733E+11	drtbpatel.getmy.clinic	Send Enquiry				
https://www.yelu.in/company/957022/dr-rajiv-sharma-ms-hospital	Dr. Rajiv Sharma M.S Hospital 	"Subhash Nagar, Near Dhobi Ghat, Old Railway Rd, Sector 8, Gurugram, Haryana 122001, Gurgaon , India"	9.19811E+11	drrajivsharma9222.getmy.clinic/			Dr. Rajiv Sharma M.S Hospital	Send Enquiry	
https://www.yelu.in/company/956785/dr-sankalp-arya	Dr. Sankalp Arya	"GF2, Plot No. 279, Indirapuram, Niti Khand 2,  , Ghaziabad , Uttar Pradesh, 201014, India"	+91 9953263387	drsankalparya.getmy.clinic	Send Enquiry				
https://www.yelu.in/company/956781/phoenix-physiotherapy-and-rehabilitation-centre	Phoenix physiotherapy and rehabilitation centre	"7/3, gulmohar road, shipra sun city, Vaibhav khand, indirapuram,  , Ghaziabad , Uttar Pradesh, 201014, India"	+91 78276 67389	drsudiksha.getmy.clinic	Send Enquiry				
https://www.yelu.in/company/956926/priyadarshni-skin-clinic	Priyadarshni Skin Clinic	"A1, A2 Block A, Dilshad Garden, Delhi, Delhi, 110095, New Delhi , India"	9.19502E+11	drsmitapriyadarshni.getmy.clinic/	Send Enquiry				
https://www.yelu.in/company/956722/khandelwal-dentalskin-clinic	khandelwal Dental & skin Clinic	"51/1-3 New Market Nr Liberty Cinema Circle , Karol Bagh New Delhi ,,  , New Delhi , , 110005, India"	9.19555E+11	drnikitagupta42616.getmy.clinic/	Send Enquiry				
https://www.yelu.in/company/956723/dr-smriti-attam-reproductive-medicine-specialist	Dr. Smriti Attam- Reproductive Medicine Specialist	"Center For Assisted Conception, House No. 19, Bhera Enclave , New Delhi , Delhi, 110087, India"	9.28922E+11	drsmritiattam.getmy.clinic/	Send Enquiry				
https://www.yelu.in/company/956725/vighnaharta-dental-clinic	Vighnaharta dental clinic	"Shop no 1, maruti tower, plot no.09 Sector 5, post office near, Navi Mumbai , Maharashtra, 410206, India"	+9177382 77311	draniketankushaware.getmy.clinic	Send Enquiry				
https://www.yelu.in/company/290779/nova-hospital	Nova Hospital	"Vikas Khand, 1, Ptrkrpurm Crssg, Gomti Nagar, Lucknow , Uttar Pradesh, India"	0522 - 2300025 +91	www.novahospital.co.in/department-of-orthopaedics-surgery-joint-replacement/	Send Enquiry				
https://www.yelu.in/company/942802/ludhiana-dental-centre	Ludhiana Dental Centre	"1-F, Shaheed Bhagat Singh Nagar, Pakhowal Road, Ludhiana , Punjab, India View Map Get Directions"	9803200800	www.ludhianadentalcentre.com/	Send Enquiry	9803200800			
